Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,12/23/2020,21-119,MIN,,DET,W (+10),0,17:34,2,5,0.4,0,1,0,4,6,0.667,2,3,5,1,0,3,0,0,8,9.6,-1
2,2,12/26/2020,21-122,MIN,@,UTA,W (+5),0,17:36,3,8,0.375,2,4,0.5,0,0,,0,2,2,2,1,0,1,1,8,5.2,-9
3,3,12/27/2020,21-123,MIN,@,LAL,L (-36),1,27:48:00,5,13,0.385,1,4,0.25,0,0,,1,4,5,4,2,0,1,5,11,7.6,-21
4,4,12/29/2020,21-125,MIN,@,LAC,L (-23),1,19:54,4,6,0.667,1,1,1,2,2,1,2,1,3,1,0,0,0,3,11,9.6,-12
5,5,1/1/2021,21-128,MIN,,WAS,L (-21),1,24:18:00,7,10,0.7,1,3,0.333,2,3,0.667,1,5,6,1,1,2,2,4,17,14.1,4
6,6,1/3/2021,21-130,MIN,,DEN,L (-15),0,23:02,6,9,0.667,0,2,0,1,2,0.5,0,4,4,1,0,1,2,5,13,7.3,0
7,7,1/5/2021,21-132,MIN,@,DEN,L (-7),0,10:12,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,2,5,2,-3,-13
8,8,1/7/2021,21-134,MIN,@,POR,L (-18),0,16:01,4,7,0.571,1,3,0.333,4,7,0.571,2,3,5,1,0,1,0,4,13,10.6,-2
9,9,1/9/2021,21-136,MIN,,SAS,L (-3),0,16:00,6,8,0.75,3,4,0.75,1,2,0.5,1,6,7,1,0,3,2,1,16,15.3,5
10,10,1/10/2021,21-137,MIN,,SAS,W (+8),0,29:24:00,3,7,0.429,1,4,0.25,4,4,1,1,6,7,1,0,1,3,3,11,7,-4
11,11,1/13/2021,21-140,MIN,,MEM,L (-11),0,13:35,3,6,0.5,1,3,0.333,2,2,1,1,2,3,0,0,0,2,2,9,4.5,-16
12,12,1/18/2021,21-145,MIN,@,ATL,L (-11),1,27:50:00,4,9,0.444,1,2,0.5,0,0,,0,2,2,1,2,1,2,2,9,5.5,-7
13,13,1/20/2021,21-147,MIN,,ORL,L (-1),1,29:10:00,5,8,0.625,2,4,0.5,2,2,1,0,3,3,1,0,3,1,1,14,12.7,-4
14,14,1/22/2021,21-149,MIN,,ATL,L (-18),1,25:06:00,6,7,0.857,1,2,0.5,0,0,,0,8,8,2,1,4,0,3,13,16.9,-1
15,15,1/23/2021,21-150,MIN,,NOP,W (+10),1,27:23:00,5,10,0.5,2,4,0.5,8,8,1,1,3,4,2,0,1,1,4,20,16.1,8
16,16,1/25/2021,21-152,MIN,@,GSW,L (-22),1,24:02:00,5,16,0.313,1,6,0.167,0,0,,4,6,10,1,0,2,2,6,11,4.1,-11
17,17,1/27/2021,21-154,MIN,@,GSW,L (-12),1,27:24:00,6,10,0.6,1,2,0.5,6,9,0.667,4,3,7,1,3,5,3,3,19,19.9,-17
18,,1/29/2021,21-156,MIN,,PHI,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,1/31/2021,21-158,MIN,,CLE,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,18,2/1/2021,21-159,MIN,@,CLE,L (-2),0,13:14,5,11,0.455,2,3,0.667,0,0,,2,1,3,0,0,0,0,5,12,6,5
21,19,2/3/2021,21-161,MIN,@,SAS,L (-3),1,32:06:00,3,7,0.429,2,3,0.667,0,0,,2,9,11,3,2,0,1,4,8,9.9,-5
22,20,2/5/2021,21-163,MIN,@,OKC,W (+3),1,27:43:00,8,12,0.667,0,1,0,1,2,0.5,3,6,9,1,0,1,0,4,17,15.1,-8
23,21,2/6/2021,21-164,MIN,@,OKC,L (-2),1,27:04:00,12,21,0.571,1,4,0.25,4,6,0.667,4,2,6,0,2,0,3,3,29,19.5,-4
24,22,2/8/2021,21-166,MIN,@,DAL,L (-5),1,20:59,3,12,0.25,0,4,0,0,0,,0,2,2,2,1,0,1,5,6,-1.2,5
25,23,2/10/2021,21-168,MIN,,LAC,L (-7),0,19:51,9,13,0.692,2,3,0.667,3,4,0.75,2,1,3,0,1,2,0,2,23,20.4,-6
26,24,2/12/2021,21-170,MIN,@,CHO,L (-6),0,16:29,3,7,0.429,0,0,,1,2,0.5,1,4,5,4,0,0,0,1,7,7.2,-3
27,25,2/14/2021,21-172,MIN,@,TOR,W (+4),0,13:49,1,5,0.2,0,1,0,0,0,,0,2,2,1,0,0,1,3,2,-2,-6
28,26,2/16/2021,21-174,MIN,,LAL,L (-8),0,15:23,4,7,0.571,1,2,0.5,1,1,1,0,1,1,1,1,0,0,3,10,7.5,-10
29,27,2/17/2021,21-175,MIN,,IND,L (-6),0,17:38,8,14,0.571,2,3,0.667,0,1,0,2,7,9,3,1,3,1,2,18,17.9,4
30,28,2/19/2021,21-177,MIN,,TOR,L (-5),0,17:30,2,8,0.25,0,3,0,0,0,,0,4,4,2,0,1,0,4,4,0.9,1
31,29,2/21/2021,21-179,MIN,@,NYK,L (-4),0,16:37,3,4,0.75,0,1,0,5,6,0.833,1,6,7,0,0,0,0,1,11,11.1,-5
32,30,2/23/2021,21-181,MIN,@,MIL,L (-27),0,15:12,2,7,0.286,1,6,0.167,0,0,,0,7,7,1,0,1,1,0,5,3.4,-25
33,31,2/24/2021,21-182,MIN,@,CHI,L (-7),0,21:53,6,14,0.429,1,4,0.25,0,0,,0,4,4,0,1,3,4,4,13,4.3,-17
34,32,2/27/2021,21-185,MIN,@,WAS,L (-16),0,17:55,8,12,0.667,0,3,0,1,2,0.5,0,1,1,3,1,1,1,4,17,12.9,-5
35,33,2/28/2021,21-186,MIN,,PHO,L (-19),0,13:25,4,6,0.667,0,1,0,1,2,0.5,1,1,2,2,0,1,0,5,9,7.1,-9
36,34,3/3/2021,21-189,MIN,,CHO,L (-33),0,16:00,2,6,0.333,1,3,0.333,2,2,1,1,4,5,0,1,1,1,2,7,5.4,-6
37,35,3/11/2021,21-197,MIN,@,NOP,W (+30),0,23:56,7,9,0.778,1,3,0.333,0,0,,0,4,4,1,2,2,0,4,15,15.2,22
38,36,3/13/2021,21-199,MIN,,POR,L (-4),0,13:43,4,9,0.444,0,1,0,3,4,0.75,2,2,4,1,0,2,0,1,11,9.6,-1
39,37,3/14/2021,21-200,MIN,,POR,W (+2),0,18:49,3,4,0.75,0,0,,0,4,0,2,2,4,0,0,0,0,1,6,4.4,7
40,38,3/16/2021,21-202,MIN,@,LAL,L (-16),0,12:56,3,8,0.375,0,2,0,0,0,,2,2,4,1,0,0,1,2,6,2.5,-6
41,39,3/18/2021,21-204,MIN,@,PHO,W (+4),0,14:44,3,5,0.6,0,0,,4,5,0.8,1,3,4,1,1,1,0,1,10,10.9,-2
42,40,3/19/2021,21-205,MIN,@,PHO,L (-12),0,12:30,1,2,0.5,0,0,,6,6,1,0,2,2,1,0,1,2,1,8,6.6,-1
43,41,3/22/2021,21-208,MIN,,OKC,L (-9),0,15:22,3,4,0.75,2,3,0.667,1,2,0.5,0,5,5,1,0,0,3,0,9,6.2,-12
44,42,3/24/2021,21-210,MIN,,DAL,L (-20),0,14:24,3,4,0.75,1,2,0.5,1,3,0.333,0,6,6,0,1,0,4,1,8,4,-6
45,43,3/26/2021,21-212,MIN,,HOU,W (+6),0,16:55,7,14,0.5,0,2,0,2,3,0.667,2,0,2,2,2,0,0,2,16,12.6,-7
46,44,3/27/2021,21-213,MIN,,HOU,L (-22),0,11:07,1,4,0.25,0,0,,0,2,0,1,1,2,0,0,2,0,0,2,1.2,-7
47,45,3/29/2021,21-215,MIN,@,BRK,L (-5),0,9:02,0,0,,0,0,,2,2,1,1,2,3,0,0,1,1,1,2,2.6,-5
48,46,3/31/2021,21-217,MIN,,NYK,W (+1),0,15:27,2,7,0.286,0,0,,2,2,1,3,0,3,1,0,0,1,1,6,3.3,-7
49,47,4/2/2021,21-219,MIN,@,MEM,L (-12),0,22:47,5,7,0.714,2,2,1,6,7,0.857,1,4,5,1,0,2,0,3,18,17.5,2
50,48,4/3/2021,21-220,MIN,@,PHI,L (-9),0,17:33,1,3,0.333,1,3,0.333,2,2,1,0,3,3,0,0,1,0,5,5,2.9,-12
51,49,4/5/2021,21-222,MIN,,SAC,W (+10),0,20:49,4,8,0.5,2,3,0.667,0,0,,0,7,7,0,1,1,0,1,10,9.4,21
52,50,4/7/2021,21-224,MIN,@,IND,L (-4),0,15:15,5,7,0.714,1,2,0.5,5,6,0.833,2,3,5,0,0,0,0,1,16,14.6,-9
53,51,4/9/2021,21-226,MIN,@,BOS,L (-9),0,10:58,3,6,0.5,1,3,0.333,1,2,0.5,0,0,0,0,0,0,1,1,8,3.2,-5
54,52,4/11/2021,21-228,MIN,,CHI,W (+4),0,28:20:00,6,9,0.667,2,4,0.5,4,4,1,0,1,1,2,0,0,1,1,18,14.4,-4
55,53,4/13/2021,21-230,MIN,,BRK,L (-30),1,16:34,1,7,0.143,0,2,0,0,0,,0,3,3,0,0,2,2,4,2,-3.8,-22
56,54,4/14/2021,21-231,MIN,,MIL,L (-25),1,30:33:00,3,10,0.3,0,4,0,3,4,0.75,3,12,15,2,2,3,1,1,9,12.6,-23
57,55,4/16/2021,21-233,MIN,,MIA,W (+8),0,22:14,6,12,0.5,0,3,0,4,5,0.8,4,3,7,2,0,0,0,3,16,13.5,7
58,56,4/18/2021,21-235,MIN,@,LAC,L (-19),0,20:57,5,10,0.5,1,2,0.5,2,3,0.667,1,6,7,0,0,1,0,2,13,10,-14
59,57,4/20/2021,21-237,MIN,@,SAC,W (+14),0,13:46,3,5,0.6,0,0,,4,4,1,1,3,4,1,0,1,0,0,10,10.7,11
60,58,4/21/2021,21-238,MIN,@,SAC,L (-3),0,23:54,11,15,0.733,2,3,0.667,0,0,,0,7,7,2,0,1,2,4,24,18.5,7
61,59,4/24/2021,21-241,MIN,@,UTA,W (+5),0,13:10,2,8,0.25,0,2,0,0,0,,1,0,1,0,0,0,1,3,4,-2.3,4
62,60,4/26/2021,21-243,MIN,,UTA,W (+1),0,17:47,5,7,0.714,2,3,0.667,1,3,0.333,0,2,2,0,0,1,0,1,13,10.2,-4
63,61,4/27/2021,21-244,MIN,@,HOU,W (+7),0,16:31,2,6,0.333,1,3,0.333,0,0,,0,0,0,1,0,2,3,3,5,-0.5,11
64,62,4/29/2021,21-246,MIN,,GSW,W (+12),0,15:13,6,9,0.667,1,2,0.5,0,3,0,1,4,5,0,0,1,1,2,13,8.7,9
65,63,5/1/2021,21-248,MIN,,NOP,L (-4),0,22:12,7,13,0.538,3,6,0.5,0,2,0,2,3,5,0,1,2,0,6,17,12.2,-2
66,64,5/5/2021,21-252,MIN,,MEM,L (-4),0,25:08:00,6,14,0.429,2,6,0.333,0,0,,3,4,7,0,1,2,1,3,14,10.1,-12
67,65,5/7/2021,21-254,MIN,@,MIA,L (-9),0,17:45,3,5,0.6,0,2,0,0,0,,1,5,6,1,0,0,2,4,6,3,-16
68,66,5/9/2021,21-256,MIN,@,ORL,W (+32),0,15:42,3,5,0.6,1,3,0.333,2,2,1,2,6,8,4,0,1,0,3,9,12.2,1
69,67,5/11/2021,21-258,MIN,@,DET,W (+19),0,14:05,6,9,0.667,0,1,0,1,2,0.5,1,2,3,1,0,1,1,0,13,10.4,-13
70,68,5/13/2021,21-260,MIN,,DEN,L (-11),0,30:51:00,4,9,0.444,0,4,0,2,4,0.5,0,6,6,0,1,1,2,3,10,4.8,-10
71,69,5/15/2021,21-262,MIN,,BOS,L (-16),0,19:46,5,13,0.385,0,1,0,2,5,0.4,5,0,5,2,1,3,1,3,12,9.5,0
72,70,5/16/2021,21-263,MIN,,DAL,W (+15),0,16:49,7,7,1,3,3,1,0,0,,1,4,5,0,0,0,0,3,17,15.6,1
